"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         153,      -5.510012063,      -3.164948527,      -4.152029016,      -1.231286304
          0,           0,         154,      -5.517032084,      -3.172927759,      -4.161566876,       -1.23295714
          0,           0,         155,      -5.523751245,      -3.180435354,      -4.169063212,       -1.22153586
          0,           0,         156,      -5.528292594,      -3.185307848,      -4.179525038,      -1.241565736
          0,           0,         157,      -5.535197972,      -3.193253613,      -4.187568025,      -1.243547868
          0,           0,         158,      -5.541961415,      -3.200865539,      -4.193337641,      -1.232891544
          0,           0,         159,      -5.546476601,      -3.205800851,      -4.203019796,      -1.255338945
          0,           0,         160,      -5.553358108,      -3.213788351,      -4.209866118,      -1.258522889
          0,           0,         161,      -5.560026721,      -3.221353507,      -4.214154133,       -1.24885438
          0,           0,         162,        -5.5646026,      -3.226358062,      -4.223307652,      -1.274574933
          0,           0,         163,      -5.571448723,      -3.234357466,      -4.229433101,      -1.279107646
          0,           0,         164,      -5.578088497,        -3.2419153,      -4.232826564,      -1.271152809
          0,           0,         165,      -5.582597909,      -3.246823437,      -4.241987482,      -1.299568401
          0,           0,         166,      -5.589484464,       -3.25481639,      -4.247953876,       -1.30609772
          0,           0,         167,      -5.596077521,      -3.262326572,      -4.251016476,      -1.299872801
          0,           0,         168,      -5.600569083,      -3.267147134,      -4.260578844,      -1.330659184
          0,           0,         169,      -5.607346123,      -3.274929958,      -4.266757623,      -1.338406233
          0,           0,         170,      -5.613314609,      -3.281594002,      -4.273357048,      -1.348971225
          0,           0,         171,      -5.618863893,      -3.287719033,      -4.279982367,      -1.358985843
          0,           0,         172,      -5.625571336,      -3.295184803,      -4.287696791,      -1.371014917
          0,           0,         173,      -5.631392432,      -3.301516987,      -4.295395076,       -1.38344544
          0,           0,         174,      -5.636936024,      -3.307449276,      -4.302876408,       -1.39578373
          0,           0,         175,      -5.643564734,      -3.314677223,      -4.311515941,      -1.408815908
          0,           0,         176,      -5.649321278,       -3.32077598,      -4.320118656,      -1.421947763
          0,           0,         177,        -5.6547493,      -3.326418629,      -4.328510693,      -1.434243073
          0,           0,         178,      -5.661380728,      -3.333464772,      -4.338131461,      -1.447073343
          0,           0,         179,      -5.667063123,      -3.339350748,      -4.347546272,      -1.458693831
          0,           0,         180,      -5.672434947,      -3.344780137,      -4.356922095,      -1.469315327
          0,           0,         181,      -5.677802724,      -3.350157265,      -4.368771705,       -1.49399214
          0,           0,         182,      -5.683587222,      -3.356103182,      -4.378240599,      -1.499317046
          0,           0,         183,      -5.687838397,       -3.36012163,      -4.389186094,      -1.517912072
          0,           0,         184,      -5.694439675,      -3.366991863,      -4.399295053,      -1.519414579
          0,           0,         185,      -5.699024419,      -3.371325875,      -4.410797981,      -1.535264758
          0,           0,         186,      -5.704539292,      -3.376831076,      -4.420158603,      -1.532714089
          0,           0,         187,      -5.709962523,      -3.382128916,      -4.431837286,      -1.545938658
          0,           0,         188,      -5.715724387,      -3.387893725,      -4.441493672,      -1.541971905
          0,           0,         189,      -5.719989691,      -3.391738262,      -4.451725194,      -1.552052471
          0,           0,         190,      -5.726641907,      -3.398540316,      -4.461176476,      -1.547497814
          0,           0,         191,      -5.731187762,      -3.402724217,       -4.47117016,       -1.55731184
          0,           0,         192,      -5.736603711,      -3.408033686,       -4.47879817,      -1.549419568
          0,           0,         193,      -5.741970476,       -3.41317452,      -4.488387812,      -1.560270123
          0,           0,         194,      -5.747726561,      -3.418909617,      -4.495453468,      -1.553130827
          0,           0,         195,      -5.751920267,      -3.422665977,      -4.503406885,      -1.561990298
          0,           0,         196,      -5.758427724,      -3.429331404,      -4.509759104,      -1.555465712
          0,           0,         197,      -5.762914426,      -3.433436657,      -4.517407787,      -1.566483147
          0,           0,         198,      -5.768301946,      -3.438774846,      -4.521645539,      -1.558023518
          0,           0,         199,      -5.773606398,      -3.443901884,      -4.529220279,      -1.571068055
          0,           0,         200,      -5.779217891,      -3.449551598,      -4.533014942,      -1.563752393
          0,           0,         201,      -5.783354029,       -3.45326631,      -4.538764023,      -1.575919578
          0,           0,         202,      -5.789847123,      -3.460003101,      -4.542448302,      -1.570747401
          0,           0,         203,       -5.79426876,      -3.464096748,      -4.548259292,      -1.584962622
          0,           0,         204,      -5.799521171,      -3.469356978,      -4.549941853,       -1.57786509
          0,           0,         205,      -5.804762415,      -3.474423713,      -4.556109807,      -1.594749586
          0,           0,         206,      -5.810363323,      -3.480120543,      -4.557917758,      -1.589629347
          0,           0,         207,      -5.814434139,      -3.483800712,      -4.562797668,      -1.605490845
          0,           0,         208,      -5.820791839,      -3.490408175,      -4.564960616,      -1.602008918
          0,           0,         209,      -5.825154785,      -3.494413059,      -4.570289898,        -1.6200459
          0,           0,         210,      -5.830396634,       -3.49967355,      -4.571120977,      -1.615687137
          0,           0,         211,      -5.835581664,      -3.504654772,      -4.577431297,      -1.635574703
          0,           0,         212,      -5.841049573,      -3.510177418,       -4.57885748,      -1.632453537
          0,           0,         213,      -5.845052574,      -3.513709064,        -4.5837238,      -1.651421279
          0,           0,         214,      -5.851410588,      -3.520256043,      -4.586504156,      -1.650422419
          0,           0,         215,      -5.855701428,      -3.524106236,      -4.592133069,      -1.670518566
          0,           0,         216,      -5.860805406,      -3.529132759,      -4.593482173,      -1.667993442
          0,           0,         217,      -5.865907671,      -3.533878336,      -4.600158365,      -1.689350827
          0,           0,         218,      -5.871365785,      -3.539279821,       -4.60266172,      -1.688416932
          0,           0,         219,      -5.875279362,      -3.542600433,      -4.608114599,      -1.708054861
          0,           0,         220,       -5.88149572,      -3.548837227,      -4.611736485,      -1.707786741
          0,           0,         221,      -5.885697302,      -3.552429899,      -4.617911479,      -1.727877816
          0,           0,         222,      -5.890729104,      -3.557233151,      -4.620361712,      -1.726237748
          0,           0,         223,      -5.895809627,      -3.561797186,      -4.627941535,      -1.746795657
          0,           0,         224,      -5.901126032,      -3.566887093,       -4.63125542,      -1.745381095
          0,           0,         225,       -5.90492591,      -3.569911953,      -4.636875232,      -1.762790441
          0,           0,         226,      -5.911121534,      -3.575965823,      -4.641861502,      -1.762273248
          0,           0,         227,      -5.915214235,      -3.579279992,      -4.648083437,      -1.779147173
          0,           0,         228,      -5.920127885,      -3.583802226,      -4.651215586,      -1.775636661
          0,           0,         229,      -5.925099715,      -3.588080869,      -4.658798746,      -1.792510724
          0,           0,         230,      -5.930314669,      -3.592910679,      -4.662667917,       -1.78883804
          0,           0,         231,      -5.933992684,      -3.595657804,      -4.667945459,        -1.8018147
          0,           0,         232,      -5.940096103,      -3.601475069,       -4.67337434,      -1.798703849
          0,           0,         233,      -5.944077187,      -3.604534624,      -4.679115846,      -1.811273611
          0,           0,         234,      -5.948878927,       -3.60882608,       -4.68217832,      -1.804395369
          0,           0,         235,      -5.953749632,      -3.612881933,      -4.689229645,      -1.817526541
          0,           0,         236,      -5.958860611,      -3.617509562,      -4.692772811,       -1.81064948
          0,           0,         237,      -5.962418917,      -3.620039586,      -4.697115467,      -1.820073944
          0,           0,         238,      -5.968428502,       -3.62569238,      -4.702050956,      -1.814221657
          0,           0,         239,      -5.972301467,       -3.62856749,       -4.70675643,      -1.824315179
          0,           0,         240,      -5.976988073,       -3.63269791,      -4.708823443,      -1.814737045
          0,           0,         241,      -5.981764858,      -3.636610029,      -4.714881568,      -1.826567419
          0,           0,         242,      -5.986771097,      -3.641109716,      -4.717251516,       -1.81770678
          0,           0,         243,      -5.990215347,       -3.64349609,      -4.720327177,      -1.826521142
          0,           0,         244,      -5.996134243,       -3.64906054,      -4.724079704,      -1.819434005
          0,           0,         245,      -5.999905785,      -3.651822314,       -4.72756621,      -1.829901735
          0,           0,         246,      -6.004479697,      -3.655858799,      -4.728186844,      -1.819549925
          0,           0,         247,      -6.009171048,      -3.659692476,      -4.733218619,      -1.832504259
          0,           0,         248,      -6.014076927,      -3.664123053,      -4.734210854,        -1.8234811
          0,           0,         249,      -6.017412736,      -3.666418857,      -4.736203537,       -1.83391183
          0,           0,         250,      -6.023248157,      -3.671942086,      -4.738799316,      -1.827101453
          0,           0,         251,      -6.026923208,      -3.674630586,      -4.741397598,      -1.839586803
          0,           0,         252,      -6.031390074,      -3.678606618,      -4.740903112,      -1.829924528
          0,           0,         253,      -6.036000928,       -3.68238666,      -4.745311507,      -1.845005075
          0,           0,         254,      -6.040812706,      -3.686766548,      -4.745456018,      -1.836955297
          0,           0,         255,      -6.044040844,      -3.688983203,      -4.746909697,      -1.849663016
          0,           0,         256,      -6.049800372,      -3.694467738,      -4.748971581,      -1.843881845
          0,           0,         257,      -6.053378066,      -3.697079996,      -4.751247955,      -1.858607307
          0,           0,         258,      -6.057742487,      -3.700986774,      -4.750395198,      -1.850185899
          0,           0,         259,        -6.0622715,       -3.70469658,      -4.754682373,      -1.867204298
          0,           0,         260,      -6.066993286,      -3.709005217,      -4.754740961,      -1.860436348
          0,           0,         261,      -6.070108101,      -3.711118271,      -4.756151259,      -1.874961405
          0,           0,         262,      -6.075796316,      -3.716533787,       -4.75835295,      -1.870260722
          0,           0,         263,      -6.079269802,      -3.719038122,      -4.760718581,      -1.886554989
          0,           0,         264,      -6.083532659,      -3.722841426,      -4.760123686,      -1.879201913
          0,           0,         265,      -6.087973307,      -3.726444769,      -4.764577323,      -1.897297639
          0,           0,         266,      -6.092605189,      -3.730645303,      -4.765047262,      -1.891506209
          0,           0,         267,      -6.095596839,      -3.732618627,      -4.766618874,       -1.90679125
          0,           0,         268,      -6.101214235,      -3.737928594,       -4.76931061,      -1.902728971
          0,           0,         269,      -6.104573612,      -3.740290872,      -4.771874228,      -1.919485387
          0,           0,         270,      -6.108732027,       -3.74395739,      -4.771766037,      -1.912554202
          0,           0,         271,      -6.113075851,      -3.747424752,      -4.776402954,      -1.930600536
          0,           0,         272,      -6.117614505,      -3.751489192,      -4.777394737,      -1.925092816
          0,           0,         273,      -6.120472685,      -3.753298591,      -4.779072363,      -1.939917377
          0,           0,         274,      -6.126016702,      -3.758482506,      -4.782260586,      -1.935776269
          0,           0,         275,      -6.129252591,      -3.760686036,      -4.784916054,      -1.951865269
          0,           0,         276,      -6.133301744,      -3.764201431,      -4.785212423,      -1.944520525
          0,           0,         277,      -6.137541453,       -3.76752513,      -4.789894508,      -1.961535479
          0,           0,         278,      -6.141982177,      -3.771447423,      -4.791263014,      -1.955521471
          0,           0,         279,      -6.144699116,      -3.773091246,      -4.792882026,      -1.968977397
          0,           0,         280,      -6.150166166,      -3.778152271,      -4.796382533,      -1.964073049
          0,           0,         281,       -6.15327214,      -3.780203345,      -4.798960896,      -1.978799698
          0,           0,         282,      -6.157207593,      -3.783575862,       -4.79944644,      -1.970400043
          0,           0,         283,      -6.161338807,      -3.786770575,      -4.804015694,      -1.985967394
          0,           0,         284,      -6.165677739,        -3.7905658,      -4.805532886,      -1.978935528
          0,           0,         285,      -6.168249588,      -3.792062478,      -4.806948202,      -1.990835019
          0,           0,         286,       -6.17363701,       -3.79702257,      -4.810538087,      -1.984855963
          0,           0,         287,      -6.176610444,      -3.798944712,      -4.812913766,      -1.998262907
          0,           0,         288,      -6.180429984,      -3.802198495,      -4.813379265,      -1.988679997
          0,           0,         289,      -6.184451535,      -3.805292614,      -4.817736355,      -2.003100757
          0,           0,         290,      -6.188687225,      -3.808988148,      -4.819208503,      -1.995057392
          0,           0,         291,      -6.191113955,      -3.810366717,        -4.8203547,      -2.005936066
          0,           0,         292,      -6.196421257,      -3.815256002,      -4.823865142,      -1.999059118
          0,           0,         293,      -6.199262847,      -3.817079375,      -4.825995804,      -2.011782104
          0,           0,         294,      -6.202967363,      -3.820243797,      -4.826313109,       -2.00138327
          0,           0,         295,        -6.2068805,      -3.823267991,       -4.83043863,      -2.015378283
          0,           0,         296,      -6.211014466,      -3.826892528,      -4.831764856,      -2.006739278
          0,           0,         297,      -6.213298733,      -3.828181693,      -4.832662499,      -2.017421149
          0,           0,         298,      -6.218527835,      -3.833027434,      -4.836021842,      -2.010106735
          0,           0,         299,      -6.221240306,      -3.834778316,       -4.83794468,      -2.022908314
          0,           0,         300,      -6.224833596,      -3.837877836,      -4.838093691,      -2.012248348
          0,           0,         301,      -6.228640621,      -3.840855247,      -4.842036456,      -2.026494312
          0,           0,         302,      -6.232676906,      -3.844429631,      -4.843224031,      -2.017772579
          0,           0,         303,      -6.234822512,      -3.845649189,      -4.843956517,      -2.028905872
          0,           0,         304,       -6.23997711,      -3.850467971,      -4.847194152,      -2.021603658
          0,           0,         305,      -6.242563757,      -3.852161737,      -4.848998303,      -2.034997818
          0,           0,         306,      -6.246051561,      -3.855209558,      -4.849052817,       -2.02452374
          0,           0,         307,      -6.249754569,      -3.858150705,      -4.852899944,      -2.039383276
          0,           0,         308,      -6.253698661,      -3.861683512,      -4.854038627,      -2.030949934
          0,           0,         309,      -6.255709369,      -3.862840953,      -4.854712936,      -2.042809592
          0,           0,         310,      -6.260793852,      -3.867636501,      -4.857924702,      -2.035790214
          0,           0,         311,      -6.263257625,      -3.869276357,      -4.859710837,      -2.049932867
          0,           0,         312,      -6.266646442,      -3.872273935,      -4.859789101,      -2.039861151
          0,           0,         313,      -6.270246753,      -3.875177745,      -4.863627825,       -2.05535906
          0,           0,         314,       -6.27410448,      -3.878666872,      -4.864834094,      -2.047366328
          0,           0,         315,      -6.275983681,      -3.879759898,      -4.865539685,      -2.059888015
          0,           0,         316,      -6.281002196,      -3.884526739,      -4.868831225,      -2.053217292
