"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         192,       -11.0252935,      -8.027818798,      -9.099009493,      -5.149680559
          0,           0,         193,      -11.06339468,      -8.065954528,      -9.134739614,      -5.187815686
          0,           0,         194,      -11.10151025,      -8.104107698,      -9.171575262,      -5.225978976
          0,           0,         195,      -11.13991092,      -8.142539964,      -9.210293741,       -5.26442522
          0,           0,         196,      -11.17881996,      -8.181448767,      -9.250814066,      -5.303336394
          0,           0,         197,      -11.21821264,      -8.220786317,      -9.292576262,      -5.342653781
          0,           0,         198,      -11.25783773,      -8.260369024,      -9.334613012,      -5.382220205
          0,           0,         199,      -11.29745511,      -8.299940149,      -9.375836787,      -5.421797868
          0,           0,         200,      -11.33684346,      -8.339309175,      -9.415263296,      -5.461167862
          0,           0,         201,      -11.37575985,      -8.378257947,      -9.452400418,      -5.500136525
          0,           0,         202,      -11.41425811,       -8.41678777,      -9.488238421,      -5.538656913
          0,           0,         203,      -11.45246828,      -8.455037294,      -9.523824867,      -5.576925992
          0,           0,         204,      -11.49064758,      -8.493251595,      -9.560259683,      -5.615142456
          0,           0,         205,      -11.52907225,      -8.531712815,      -9.598186664,      -5.653555724
          0,           0,         206,      -11.56786587,      -8.570515557,      -9.638111361,      -5.692358324
          0,           0,         207,      -11.60715138,       -8.60976807,      -9.680000665,      -5.731684342
          0,           0,         208,      -11.64678875,      -8.649400715,      -9.722627086,      -5.771318303
          0,           0,         209,      -11.68655427,      -8.689150699,      -9.764237459,      -5.811038797
          0,           0,         210,      -11.72615968,      -8.728703483,      -9.804193904,      -5.850585393
          0,           0,         211,      -11.76531939,      -8.767826732,      -9.842188144,      -5.889776779
          0,           0,         212,      -11.80404822,      -8.806525321,      -9.878880127,      -5.928484123
          0,           0,         213,      -11.84228319,      -8.844885886,      -9.914306396,        -5.9668587
          0,           0,         214,      -11.88041948,      -8.883135506,      -9.949998145,      -6.005105971
          0,           0,         215,      -11.91897995,      -8.921595645,      -9.987372713,       -6.04352723
          0,           0,         216,      -11.95775878,      -8.960345706,      -10.02698872,      -6.082317023
          0,           0,         217,      -11.99703763,      -8.999674769,      -10.06810307,      -6.121562009
          0,           0,         218,       -12.0367974,      -9.039264471,      -10.11021871,       -6.16116089
          0,           0,         219,      -12.07645568,      -9.078868097,      -10.15213707,      -6.200864288
          0,           0,         220,      -12.11579818,      -9.118452147,      -10.19230993,      -6.240475206
          0,           0,         221,      -12.15534301,      -9.157966149,      -10.23126933,      -6.279958869
          0,           0,         222,       -12.1947679,       -9.19723732,      -10.26815959,      -6.319074861
          0,           0,         223,      -12.23313039,      -9.235628413,      -10.30219113,       -6.35748429
          0,           0,         224,      -12.27110558,      -9.273730076,      -10.33748171,      -6.395621168
          0,           0,         225,      -12.30926846,      -9.312108986,      -10.37448779,      -6.433951772
          0,           0,         226,      -12.34782005,      -9.350571454,      -10.41231011,      -6.472537973
          0,           0,         227,      -12.38694836,      -9.389680848,      -10.45317669,      -6.511577744
          0,           0,         228,      -12.42649794,      -9.429384388,      -10.49456074,      -6.551251614
          0,           0,         229,      -12.46595425,      -9.468849305,      -10.53556992,      -6.590849468
          0,           0,         230,      -12.50589793,      -9.508097533,      -10.57634193,      -6.629977582
          0,           0,         231,        -12.544991,      -9.547026589,      -10.61440277,      -6.669000924
          0,           0,         232,      -12.58283616,      -9.585505979,      -10.64791928,      -6.707523912
          0,           0,         233,      -12.62034257,      -9.623650319,      -10.67877081,      -6.745923398
          0,           0,         234,      -12.65866825,      -9.661911637,      -10.71247165,      -6.784368252
          0,           0,         235,      -12.69742265,      -9.700461465,      -10.74744416,      -6.822826261
          0,           0,         236,      -12.73592708,      -9.739116572,      -10.78292108,      -6.860680152
          0,           0,         237,      -12.77354189,      -9.777034792,      -10.81561478,      -6.898834917
          0,           0,         238,      -12.81219042,      -9.815752297,      -10.85176031,      -6.937477377
          0,           0,         239,      -12.85232207,      -9.855972654,      -10.88850488,      -6.976837956
          0,           0,         240,      -12.89279942,      -9.895839828,      -10.91814933,      -7.016358238
          0,           0,         241,      -12.93144423,      -9.934165248,      -10.95209784,      -7.054569454
          0,           0,         242,      -12.96749751,      -9.970186074,      -10.97664674,      -7.091825691
          0,           0,         243,      -13.00327209,         -10.00594,      -11.00759234,      -7.127881972
